Date,Parameter,Value
1/1/2011 12:00:00 AM,Discharge,0.348
1/1/2011 12:00:00 AM,Level,1.308
1/2/2011 12:00:00 AM,Discharge,0.351
1/2/2011 12:00:00 AM,Level,1.346
1/3/2011 12:00:00 AM,Discharge,0.36
1/3/2011 12:00:00 AM,Level,
1/4/2011 12:00:00 AM,Discharge,0.369
1/4/2011 12:00:00 AM,Level,1.364
1/5/2011 12:00:00 AM,Discharge,0.378
1/5/2011 12:00:00 AM,Level,1.39
1/6/2011 12:00:00 AM,Discharge,0.387
1/6/2011 12:00:00 AM,Level,1.064
1/7/2011 12:00:00 AM,Discharge,0.365
1/7/2011 12:00:00 AM,Level,1.062
1/8/2011 12:00:00 AM,Discharge,0.337
1/8/2011 12:00:00 AM,Level,1.06
1/9/2011 12:00:00 AM,Discharge,0.3
1/9/2011 12:00:00 AM,Level,1.152
1/10/2011 12:00:00 AM,Discharge,0.279
1/10/2011 12:00:00 AM,Level,1.322
1/11/2011 12:00:00 AM,Discharge,0.285
1/11/2011 12:00:00 AM,Level,1.26
1/12/2011 12:00:00 AM,Discharge,0.319
1/12/2011 12:00:00 AM,Level,1.484
1/13/2011 12:00:00 AM,Discharge,0.344
1/13/2011 12:00:00 AM,Level,1.482
1/14/2011 12:00:00 AM,Discharge,0.33
1/14/2011 12:00:00 AM,Level,1.346
1/15/2011 12:00:00 AM,Discharge,0.319
1/15/2011 12:00:00 AM,Level,1.364
1/16/2011 12:00:00 AM,Discharge,0.364
1/16/2011 12:00:00 AM,Level,1.168
1/17/2011 12:00:00 AM,Discharge,0.321
1/17/2011 12:00:00 AM,Level,1.068
1/18/2011 12:00:00 AM,Discharge,0.278
1/18/2011 12:00:00 AM,Level,1.064
1/19/2011 12:00:00 AM,Discharge,0.268
1/19/2011 12:00:00 AM,Level,1.32
1/20/2011 12:00:00 AM,Discharge,0.327
1/20/2011 12:00:00 AM,Level,1.312
1/21/2011 12:00:00 AM,Discharge,0.386
1/21/2011 12:00:00 AM,Level,1.07
1/22/2011 12:00:00 AM,Discharge,0.379
1/22/2011 12:00:00 AM,Level,1.068
1/23/2011 12:00:00 AM,Discharge,0.373
1/23/2011 12:00:00 AM,Level,1.064
1/24/2011 12:00:00 AM,Discharge,0.429
1/24/2011 12:00:00 AM,Level,1.062
1/25/2011 12:00:00 AM,Discharge,0.446
1/25/2011 12:00:00 AM,Level,1.068
1/26/2011 12:00:00 AM,Discharge,0.45
1/26/2011 12:00:00 AM,Level,
1/27/2011 12:00:00 AM,Discharge,0.45
1/27/2011 12:00:00 AM,Level,1.062
1/28/2011 12:00:00 AM,Discharge,0.466
1/28/2011 12:00:00 AM,Level,1.058
1/29/2011 12:00:00 AM,Discharge,0.475
1/29/2011 12:00:00 AM,Level,1.066
1/30/2011 12:00:00 AM,Discharge,0.438
1/30/2011 12:00:00 AM,Level,1.24
1/31/2011 12:00:00 AM,Discharge,0.4
1/31/2011 12:00:00 AM,Level,1.362
2/1/2011 12:00:00 AM,Discharge,0.363
2/1/2011 12:00:00 AM,Level,1.238
2/2/2011 12:00:00 AM,Discharge,0.37
2/2/2011 12:00:00 AM,Level,1.246
2/3/2011 12:00:00 AM,Discharge,0.377
2/3/2011 12:00:00 AM,Level,1.254
2/4/2011 12:00:00 AM,Discharge,0.384
2/4/2011 12:00:00 AM,Level,1.23
2/5/2011 12:00:00 AM,Discharge,0.391
2/5/2011 12:00:00 AM,Level,1.224
2/6/2011 12:00:00 AM,Discharge,0.398
2/6/2011 12:00:00 AM,Level,1.155
2/7/2011 12:00:00 AM,Discharge,0.405
2/7/2011 12:00:00 AM,Level,1.054
2/8/2011 12:00:00 AM,Discharge,0.367
2/8/2011 12:00:00 AM,Level,1.054
2/9/2011 12:00:00 AM,Discharge,0.319
2/9/2011 12:00:00 AM,Level,1.34
2/10/2011 12:00:00 AM,Discharge,0.314
2/10/2011 12:00:00 AM,Level,1.245
2/11/2011 12:00:00 AM,Discharge,0.343
2/11/2011 12:00:00 AM,Level,1.058
2/12/2011 12:00:00 AM,Discharge,0.389
2/12/2011 12:00:00 AM,Level,1.058
2/13/2011 12:00:00 AM,Discharge,0.497
2/13/2011 12:00:00 AM,Level,1.056
2/14/2011 12:00:00 AM,Discharge,0.498
2/14/2011 12:00:00 AM,Level,1.066
2/15/2011 12:00:00 AM,Discharge,0.56
2/15/2011 12:00:00 AM,Level,1.076
2/16/2011 12:00:00 AM,Discharge,0.501
2/16/2011 12:00:00 AM,Level,1.066
2/17/2011 12:00:00 AM,Discharge,0.49
2/17/2011 12:00:00 AM,Level,1.064
2/18/2011 12:00:00 AM,Discharge,0.485
2/18/2011 12:00:00 AM,Level,1.078
2/19/2011 12:00:00 AM,Discharge,0.454
2/19/2011 12:00:00 AM,Level,1.14
2/20/2011 12:00:00 AM,Discharge,0.422
2/20/2011 12:00:00 AM,Level,1.22
2/21/2011 12:00:00 AM,Discharge,0.416
2/21/2011 12:00:00 AM,Level,1.372
2/22/2011 12:00:00 AM,Discharge,0.41
2/22/2011 12:00:00 AM,Level,1.478
2/23/2011 12:00:00 AM,Discharge,0.37
2/23/2011 12:00:00 AM,Level,1.528
2/24/2011 12:00:00 AM,Discharge,0.329
2/24/2011 12:00:00 AM,Level,1.654
2/25/2011 12:00:00 AM,Discharge,0.289
2/25/2011 12:00:00 AM,Level,1.76
2/26/2011 12:00:00 AM,Discharge,0.304
2/26/2011 12:00:00 AM,Level,1.884
2/27/2011 12:00:00 AM,Discharge,0.319
2/27/2011 12:00:00 AM,Level,1.904
2/28/2011 12:00:00 AM,Discharge,0.334
2/28/2011 12:00:00 AM,Level,1.862
3/1/2011 12:00:00 AM,Discharge,0.328
3/1/2011 12:00:00 AM,Level,1.78
3/2/2011 12:00:00 AM,Discharge,0.323
3/2/2011 12:00:00 AM,Level,1.844
3/3/2011 12:00:00 AM,Discharge,0.357
3/3/2011 12:00:00 AM,Level,1.8
3/4/2011 12:00:00 AM,Discharge,0.392
3/4/2011 12:00:00 AM,Level,1.76
3/5/2011 12:00:00 AM,Discharge,0.398
3/5/2011 12:00:00 AM,Level,1.72
3/6/2011 12:00:00 AM,Discharge,0.405
3/6/2011 12:00:00 AM,Level,1.046
3/7/2011 12:00:00 AM,Discharge,0.349
3/7/2011 12:00:00 AM,Level,1.038
3/8/2011 12:00:00 AM,Discharge,0.324
3/8/2011 12:00:00 AM,Level,
3/9/2011 12:00:00 AM,Discharge,0.349
3/9/2011 12:00:00 AM,Level,1.03
3/10/2011 12:00:00 AM,Discharge,0.411
3/10/2011 12:00:00 AM,Level,1.046
3/11/2011 12:00:00 AM,Discharge,0.4
3/11/2011 12:00:00 AM,Level,1.044
3/12/2011 12:00:00 AM,Discharge,0.413
3/12/2011 12:00:00 AM,Level,1.046
3/13/2011 12:00:00 AM,Discharge,0.439
3/13/2011 12:00:00 AM,Level,1.05
3/14/2011 12:00:00 AM,Discharge,0.538
3/14/2011 12:00:00 AM,Level,1.066
3/15/2011 12:00:00 AM,Discharge,0.49
3/15/2011 12:00:00 AM,Level,1.058
3/16/2011 12:00:00 AM,Discharge,0.383
3/16/2011 12:00:00 AM,Level,1.04
3/17/2011 12:00:00 AM,Discharge,0.384
3/17/2011 12:00:00 AM,Level,1.04
3/18/2011 12:00:00 AM,Discharge,0.397
3/18/2011 12:00:00 AM,Level,1.042
3/19/2011 12:00:00 AM,Discharge,0.35
3/19/2011 12:00:00 AM,Level,1.034
3/20/2011 12:00:00 AM,Discharge,0.364
3/20/2011 12:00:00 AM,Level,1.036
3/21/2011 12:00:00 AM,Discharge,0.365
3/21/2011 12:00:00 AM,Level,1.036
3/22/2011 12:00:00 AM,Discharge,0.354
3/22/2011 12:00:00 AM,Level,1.034
3/23/2011 12:00:00 AM,Discharge,0.368
3/23/2011 12:00:00 AM,Level,1.036
