Date,Parameter,Value
8/24/2013 12:00:00 AM,Precipitation,0
8/25/2013 12:00:00 AM,Precipitation,0
8/26/2013 12:00:00 AM,Precipitation,0.3
8/27/2013 12:00:00 AM,Precipitation,0
8/28/2013 12:00:00 AM,Precipitation,0
8/29/2013 12:00:00 AM,Precipitation,0.6
8/30/2013 12:00:00 AM,Precipitation,0.5
8/31/2013 12:00:00 AM,Precipitation,0
9/1/2013 12:00:00 AM,Precipitation,0
9/2/2013 12:00:00 AM,Precipitation,2.8
9/3/2013 12:00:00 AM,Precipitation,2.5
9/4/2013 12:00:00 AM,Precipitation,0
9/5/2013 12:00:00 AM,Precipitation,0
9/6/2013 12:00:00 AM,Precipitation,0
9/7/2013 12:00:00 AM,Precipitation,8.8
9/8/2013 12:00:00 AM,Precipitation,0
9/9/2013 12:00:00 AM,Precipitation,0
9/10/2013 12:00:00 AM,Precipitation,0
9/17/2013 12:00:00 AM,Precipitation,0
9/18/2013 12:00:00 AM,Precipitation,0
9/19/2013 12:00:00 AM,Precipitation,0
9/20/2013 12:00:00 AM,Precipitation,0
9/21/2013 12:00:00 AM,Precipitation,0
9/22/2013 12:00:00 AM,Precipitation,0.3
9/23/2013 12:00:00 AM,Precipitation,0
9/24/2013 12:00:00 AM,Precipitation,0
9/26/2013 12:00:00 AM,Precipitation,0
9/27/2013 12:00:00 AM,Precipitation,2.5
9/28/2013 12:00:00 AM,Precipitation,0
9/29/2013 12:00:00 AM,Precipitation,1.8
9/30/2013 12:00:00 AM,Precipitation,0.3
10/1/2013 12:00:00 AM,Precipitation,0
10/2/2013 12:00:00 AM,Precipitation,0
10/3/2013 12:00:00 AM,Precipitation,0
10/4/2013 12:00:00 AM,Precipitation,0
10/6/2013 12:00:00 AM,Precipitation,0
10/7/2013 12:00:00 AM,Precipitation,0
10/8/2013 12:00:00 AM,Precipitation,1.6
10/9/2013 12:00:00 AM,Precipitation,0
10/10/2013 12:00:00 AM,Precipitation,1.5
10/11/2013 12:00:00 AM,Precipitation,0
10/12/2013 12:00:00 AM,Precipitation,0.3
10/13/2013 12:00:00 AM,Precipitation,0
10/14/2013 12:00:00 AM,Precipitation,0
10/15/2013 12:00:00 AM,Precipitation,0.5
10/16/2013 12:00:00 AM,Precipitation,0
10/17/2013 12:00:00 AM,Precipitation,0
10/18/2013 12:00:00 AM,Precipitation,0
10/19/2013 12:00:00 AM,Precipitation,0
10/20/2013 12:00:00 AM,Precipitation,0
10/21/2013 12:00:00 AM,Precipitation,0
10/22/2013 12:00:00 AM,Precipitation,0
10/23/2013 12:00:00 AM,Precipitation,0
10/24/2013 12:00:00 AM,Precipitation,0
10/25/2013 12:00:00 AM,Precipitation,0
10/26/2013 12:00:00 AM,Precipitation,0
10/27/2013 12:00:00 AM,Precipitation,4.6
10/28/2013 12:00:00 AM,Precipitation,0
10/29/2013 12:00:00 AM,Precipitation,0
10/30/2013 12:00:00 AM,Precipitation,0
10/31/2013 12:00:00 AM,Precipitation,0.3
11/1/2013 12:00:00 AM,Precipitation,8.1
11/2/2013 12:00:00 AM,Precipitation,9.8
11/3/2013 12:00:00 AM,Precipitation,0
11/4/2013 12:00:00 AM,Precipitation,0
11/5/2013 12:00:00 AM,Precipitation,
11/6/2013 12:00:00 AM,Precipitation,0
11/7/2013 12:00:00 AM,Precipitation,1
11/8/2013 12:00:00 AM,Precipitation,2
11/9/2013 12:00:00 AM,Precipitation,0
11/10/2013 12:00:00 AM,Precipitation,0
11/11/2013 12:00:00 AM,Precipitation,0
11/12/2013 12:00:00 AM,Precipitation,0
11/13/2013 12:00:00 AM,Precipitation,0
11/14/2013 12:00:00 AM,Precipitation,0
11/15/2013 12:00:00 AM,Precipitation,3.8
11/16/2013 12:00:00 AM,Precipitation,0.5
11/17/2013 12:00:00 AM,Precipitation,0
11/19/2013 12:00:00 AM,Precipitation,0
11/20/2013 12:00:00 AM,Precipitation,0
11/21/2013 12:00:00 AM,Precipitation,0
11/22/2013 12:00:00 AM,Precipitation,0
11/23/2013 12:00:00 AM,Precipitation,0
11/24/2013 12:00:00 AM,Precipitation,0
11/25/2013 12:00:00 AM,Precipitation,0
11/26/2013 12:00:00 AM,Precipitation,0
11/27/2013 12:00:00 AM,Precipitation,0
11/28/2013 12:00:00 AM,Precipitation,0
11/29/2013 12:00:00 AM,Precipitation,0.5
11/30/2013 12:00:00 AM,Precipitation,0
12/1/2013 12:00:00 AM,Precipitation,0.3
12/2/2013 12:00:00 AM,Precipitation,0
12/3/2013 12:00:00 AM,Precipitation,0
12/4/2013 12:00:00 AM,Precipitation,0
12/5/2013 12:00:00 AM,Precipitation,0
12/6/2013 12:00:00 AM,Precipitation,0
12/7/2013 12:00:00 AM,Precipitation,0
12/8/2013 12:00:00 AM,Precipitation,0
12/9/2013 12:00:00 AM,Precipitation,0
12/10/2013 12:00:00 AM,Precipitation,0
12/11/2013 12:00:00 AM,Precipitation,1.1
12/12/2013 12:00:00 AM,Precipitation,0
12/13/2013 12:00:00 AM,Precipitation,0
12/14/2013 12:00:00 AM,Precipitation,0
12/15/2013 12:00:00 AM,Precipitation,0
12/16/2013 12:00:00 AM,Precipitation,0
12/17/2013 12:00:00 AM,Precipitation,0
12/18/2013 12:00:00 AM,Precipitation,0.8
12/19/2013 12:00:00 AM,Precipitation,0
12/20/2013 12:00:00 AM,Precipitation,12.8
12/21/2013 12:00:00 AM,Precipitation,0
12/22/2013 12:00:00 AM,Precipitation,0
12/23/2013 12:00:00 AM,Precipitation,0
12/24/2013 12:00:00 AM,Precipitation,0
12/25/2013 12:00:00 AM,Precipitation,0
12/26/2013 12:00:00 AM,Precipitation,0
12/27/2013 12:00:00 AM,Precipitation,0.3
12/28/2013 12:00:00 AM,Precipitation,0
12/29/2013 12:00:00 AM,Precipitation,0
12/30/2013 12:00:00 AM,Precipitation,0
1/1/2014 12:00:00 AM,Precipitation,0
1/2/2014 12:00:00 AM,Precipitation,1
1/3/2014 12:00:00 AM,Precipitation,0
1/4/2014 12:00:00 AM,Precipitation,0
1/5/2014 12:00:00 AM,Precipitation,0
1/6/2014 12:00:00 AM,Precipitation,0
1/7/2014 12:00:00 AM,Precipitation,0
1/8/2014 12:00:00 AM,Precipitation,0
1/9/2014 12:00:00 AM,Precipitation,0.5
1/10/2014 12:00:00 AM,Precipitation,0
1/11/2014 12:00:00 AM,Precipitation,0.3
1/12/2014 12:00:00 AM,Precipitation,0
1/13/2014 12:00:00 AM,Precipitation,0
1/14/2014 12:00:00 AM,Precipitation,0
1/15/2014 12:00:00 AM,Precipitation,0
