Date,Parameter,Value
10/22/2021 12:00:00 AM,Discharge,0.307115
10/23/2021 12:00:00 AM,Discharge,0.304447
10/24/2021 12:00:00 AM,Discharge,0.323611
10/25/2021 12:00:00 AM,Discharge,0.340861
10/26/2021 12:00:00 AM,Discharge,0.338097
10/27/2021 12:00:00 AM,Discharge,0.328986
10/28/2021 12:00:00 AM,Discharge,0.359243
10/29/2021 12:00:00 AM,Discharge,0.35326
10/30/2021 12:00:00 AM,Discharge,0.329927
10/31/2021 12:00:00 AM,Discharge,0.314243
11/1/2021 12:00:00 AM,Discharge,0.300036
11/2/2021 12:00:00 AM,Discharge,0.310104
11/3/2021 12:00:00 AM,Discharge,0.325645
11/4/2021 12:00:00 AM,Discharge,0.359065
11/5/2021 12:00:00 AM,Discharge,0.359232
11/6/2021 12:00:00 AM,Discharge,0.344371
11/7/2021 12:00:00 AM,Discharge,0.32943
11/8/2021 12:00:00 AM,Discharge,0.322843
11/9/2021 12:00:00 AM,Discharge,0.325406
11/10/2021 12:00:00 AM,Discharge,0.317114
11/11/2021 12:00:00 AM,Discharge,0.315729
11/12/2021 12:00:00 AM,Discharge,0.315524
11/13/2021 12:00:00 AM,Discharge,0.316371
11/14/2021 12:00:00 AM,Discharge,0.3265
11/15/2021 12:00:00 AM,Discharge,0.353885
11/16/2021 12:00:00 AM,Discharge,0.36918
11/17/2021 12:00:00 AM,Discharge,0.309458
11/18/2021 12:00:00 AM,Discharge,0.333875
11/19/2021 12:00:00 AM,Discharge,0.320937
11/20/2021 12:00:00 AM,Discharge,0.315781
11/21/2021 12:00:00 AM,Discharge,0.324829
11/22/2021 12:00:00 AM,Discharge,0.31594
11/23/2021 12:00:00 AM,Discharge,0.310885
11/24/2021 12:00:00 AM,Discharge,0.290486
11/25/2021 12:00:00 AM,Discharge,0.305534
11/26/2021 12:00:00 AM,Discharge,0.304722
11/27/2021 12:00:00 AM,Discharge,0.300527
11/28/2021 12:00:00 AM,Discharge,0.312395
11/29/2021 12:00:00 AM,Discharge,0.325572
11/30/2021 12:00:00 AM,Discharge,0.333812
12/1/2021 12:00:00 AM,Discharge,0.342815
12/2/2021 12:00:00 AM,Discharge,0.363222
12/3/2021 12:00:00 AM,Discharge,0.355475
12/4/2021 12:00:00 AM,Discharge,0.356434
12/5/2021 12:00:00 AM,Discharge,0.355642
12/6/2021 12:00:00 AM,Discharge,0.358743
12/7/2021 12:00:00 AM,Discharge,0.357038
12/8/2021 12:00:00 AM,Discharge,0.369059
12/9/2021 12:00:00 AM,Discharge,0.364038
12/10/2021 12:00:00 AM,Discharge,0.347489
12/11/2021 12:00:00 AM,Discharge,0.338121
12/12/2021 12:00:00 AM,Discharge,0.347128
12/13/2021 12:00:00 AM,Discharge,0.379517
12/14/2021 12:00:00 AM,Discharge,0.38535
12/15/2021 12:00:00 AM,Discharge,0.378379
12/16/2021 12:00:00 AM,Discharge,0.364187
12/17/2021 12:00:00 AM,Discharge,0.364854
12/18/2021 12:00:00 AM,Discharge,0.36975
12/19/2021 12:00:00 AM,Discharge,0.355583
12/20/2021 12:00:00 AM,Discharge,0.336177
12/21/2021 12:00:00 AM,Discharge,0.329125
12/22/2021 12:00:00 AM,Discharge,0.324937
12/23/2021 12:00:00 AM,Discharge,0.330291
12/24/2021 12:00:00 AM,Discharge,0.322354
12/25/2021 12:00:00 AM,Discharge,0.311114
12/26/2021 12:00:00 AM,Discharge,0.312489
12/27/2021 12:00:00 AM,Discharge,0.318104
12/28/2021 12:00:00 AM,Discharge,0.332739
12/29/2021 12:00:00 AM,Discharge,0.330395
12/30/2021 12:00:00 AM,Discharge,0.32527
12/31/2021 12:00:00 AM,Discharge,0.340083
1/1/2022 12:00:00 AM,Discharge,0.359968
1/2/2022 12:00:00 AM,Discharge,0.361729
1/3/2022 12:00:00 AM,Discharge,0.3565
1/4/2022 12:00:00 AM,Discharge,0.345406
1/5/2022 12:00:00 AM,Discharge,0.344833
1/6/2022 12:00:00 AM,Discharge,0.35
1/7/2022 12:00:00 AM,Discharge,0.35
