Date,Parameter,Value
10/22/2021 12:00:00 AM,Level,0.445863
10/23/2021 12:00:00 AM,Level,0.445197
10/24/2021 12:00:00 AM,Level,0.448413
10/25/2021 12:00:00 AM,Level,0.451263
10/26/2021 12:00:00 AM,Level,0.450586
10/27/2021 12:00:00 AM,Level,0.449631
10/28/2021 12:00:00 AM,Level,0.454798
10/29/2021 12:00:00 AM,Level,0.453618
10/30/2021 12:00:00 AM,Level,0.44935
10/31/2021 12:00:00 AM,Level,0.446364
11/1/2021 12:00:00 AM,Level,0.444402
11/2/2021 12:00:00 AM,Level,0.446236
11/3/2021 12:00:00 AM,Level,0.448815
11/4/2021 12:00:00 AM,Level,0.454399
11/5/2021 12:00:00 AM,Level,0.45425
11/6/2021 12:00:00 AM,Level,0.452225
11/7/2021 12:00:00 AM,Level,0.449684
11/8/2021 12:00:00 AM,Level,0.448329
11/9/2021 12:00:00 AM,Level,0.448586
11/10/2021 12:00:00 AM,Level,0.446899
11/11/2021 12:00:00 AM,Level,0.447173
11/12/2021 12:00:00 AM,Level,0.447229
11/13/2021 12:00:00 AM,Level,0.44717
11/14/2021 12:00:00 AM,Level,0.448763
11/15/2021 12:00:00 AM,Level,0.453281
11/16/2021 12:00:00 AM,Level,0.456399
11/17/2021 12:00:00 AM,Level,0.446111
11/18/2021 12:00:00 AM,Level,0.450302
11/19/2021 12:00:00 AM,Level,0.447812
11/20/2021 12:00:00 AM,Level,0.446684
11/21/2021 12:00:00 AM,Level,0.448715
11/22/2021 12:00:00 AM,Level,0.447329
11/23/2021 12:00:00 AM,Level,0.446208
11/24/2021 12:00:00 AM,Level,0.442274
11/25/2021 12:00:00 AM,Level,0.444857
11/26/2021 12:00:00 AM,Level,0.445076
11/27/2021 12:00:00 AM,Level,0.444555
11/28/2021 12:00:00 AM,Level,0.446493
11/29/2021 12:00:00 AM,Level,0.448656
11/30/2021 12:00:00 AM,Level,0.449913
12/1/2021 12:00:00 AM,Level,0.451791
12/2/2021 12:00:00 AM,Level,0.455579
12/3/2021 12:00:00 AM,Level,0.454041
12/4/2021 12:00:00 AM,Level,0.454017
12/5/2021 12:00:00 AM,Level,0.509996
12/6/2021 12:00:00 AM,Level,0.473284
12/7/2021 12:00:00 AM,Level,0.457864
12/8/2021 12:00:00 AM,Level,0.461006
12/9/2021 12:00:00 AM,Level,0.49725
12/10/2021 12:00:00 AM,Level,0.589652
12/11/2021 12:00:00 AM,Level,0.543451
12/12/2021 12:00:00 AM,Level,0.469159
12/13/2021 12:00:00 AM,Level,0.471975
12/14/2021 12:00:00 AM,Level,0.472451
12/15/2021 12:00:00 AM,Level,0.558239
12/16/2021 12:00:00 AM,Level,0.647614
12/17/2021 12:00:00 AM,Level,0.748041
12/18/2021 12:00:00 AM,Level,0.851305
12/19/2021 12:00:00 AM,Level,0.87101
12/20/2021 12:00:00 AM,Level,0.927031
12/21/2021 12:00:00 AM,Level,1.005368
12/22/2021 12:00:00 AM,Level,1.074361
12/23/2021 12:00:00 AM,Level,1.003677
12/24/2021 12:00:00 AM,Level,0.819711
12/25/2021 12:00:00 AM,Level,0.76425
12/26/2021 12:00:00 AM,Level,0.875059
12/27/2021 12:00:00 AM,Level,1.144236
12/28/2021 12:00:00 AM,Level,1.18117
12/29/2021 12:00:00 AM,Level,0.996513
12/30/2021 12:00:00 AM,Level,0.938777
